                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.1979,                 1.3071,                 1.2912,                 1.4358,                 1.6093,                 1.2903,                 0.4501,                0.22386,                0.20894,                0.13852,                 1.1146,                 1.3558,                 1.2409,                 1.3051,                  1.586,                 1.2473,              0.0096931,              0.0096931,              0.0096931
                     34,                 1.2039,                 1.2943,                 1.2848,                 1.4528,                  1.597,                 1.2824,                0.45252,                0.21576,                0.21597,                0.14415,                 1.1108,                 1.2914,                 1.2421,                  1.302,                 1.5281,                 1.2429,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.1983,                 1.2924,                  1.287,                 1.4419,                 1.5933,                  1.287,                0.46512,                0.21971,                0.22012,                0.14727,                 1.1119,                 1.2858,                 1.2452,                 1.3016,                 1.5142,                 1.2467,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.1904,                 1.2848,                 1.2785,                 1.4334,                 1.5866,                 1.2809,                0.46939,                0.23007,                0.23243,                0.15728,                 1.1022,                 1.2857,                 1.2335,                 1.2971,                 1.5112,                 1.2375,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.1874,                 1.2713,                 1.2725,                 1.4312,                 1.5724,                 1.2719,                0.47715,                0.22428,                0.22148,                 0.1477,                 1.0948,                 1.3035,                 1.2248,                 1.2921,                 1.5147,                 1.2333,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.1818,                 1.2697,                 1.2744,                 1.4242,                 1.5586,                 1.2785,                0.44445,                0.24701,                0.23484,                0.15876,                 1.0926,                 1.2969,                 1.2233,                 1.2777,                 1.5129,                 1.2281,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.1744,                 1.2548,                 1.2665,                 1.4208,                 1.5465,                 1.2732,                0.51082,                0.22305,                0.23178,                0.15615,                 1.0818,                  1.257,                 1.2137,                 1.2729,                 1.4693,                 1.2243,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.1646,                 1.2446,                 1.2597,                  1.408,                 1.5399,                 1.2631,                0.39132,                0.24978,                0.23501,                0.15787,                 1.0806,                 1.2745,                 1.2156,                 1.2696,                 1.4826,                  1.221,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.1694,                 1.2436,                 1.2598,                 1.4139,                 1.5323,                 1.2655,                0.45682,                0.24663,                0.24418,                0.16437,                 1.0667,                 1.2272,                 1.2033,                  1.257,                  1.444,                 1.2147,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.1601,                 1.2369,                 1.2524,                 1.4061,                 1.5266,                 1.2565,                0.50854,                0.22431,                0.22603,                0.15453,                 1.0653,                 1.2385,                 1.1998,                 1.2521,                 1.4684,                 1.2028,               0.009604,               0.009604,               0.009604
                     43,                 1.1608,                 1.2256,                 1.2536,                 1.4016,                 1.5082,                 1.2571,                0.41905,                0.25704,                0.24334,                0.16495,                 1.0567,                  1.269,                 1.1922,                 1.2459,                 1.4883,                 1.2006,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.1498,                  1.223,                 1.2459,                 1.3955,                 1.5071,                 1.2528,                0.44421,                0.26368,                0.24213,                0.16443,                 1.0596,                 1.2284,                  1.193,                 1.2444,                 1.4462,                 1.2031,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.1499,                 1.2155,                 1.2455,                 1.3966,                  1.497,                 1.2521,                0.44318,                0.25292,                0.24729,                0.16911,                  1.054,                   1.25,                 1.1932,                 1.2501,                 1.4533,                  1.201,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.1499,                 1.2144,                 1.2408,                 1.3949,                 1.4949,                 1.2452,                0.45238,                0.25151,                0.23727,                0.16001,                 1.0485,                 1.2196,                 1.1873,                 1.2427,                  1.442,                 1.1987,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.1476,                 1.2062,                 1.2401,                 1.3959,                 1.4889,                 1.2457,                0.45885,                0.25822,                0.25195,                0.16969,                 1.0411,                 1.2111,                 1.1801,                 1.2306,                 1.4104,                 1.1918,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.1432,                 1.1959,                 1.2344,                  1.391,                 1.4745,                 1.2412,                0.46722,                0.26876,                0.25178,                0.16983,                 1.0391,                 1.2119,                 1.1756,                 1.2311,                 1.4222,                 1.1891,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.1362,                 1.1936,                 1.2354,                 1.3817,                 1.4714,                 1.2444,                0.42475,                 0.2613,                0.24805,                0.16786,                 1.0336,                 1.2169,                 1.1743,                 1.2273,                 1.4176,                 1.1908,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.1371,                 1.1979,                 1.2323,                 1.3856,                 1.4731,                 1.2406,                0.48903,                0.26522,                0.25819,                0.17658,                 1.0282,                 1.1877,                 1.1704,                 1.2236,                 1.3872,                 1.1831,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.1282,                 1.1816,                 1.2248,                 1.3738,                 1.4581,                 1.2338,                0.44249,                0.25959,                0.24923,                0.17106,                 1.0289,                 1.1731,                 1.1689,                 1.2213,                 1.3829,                 1.1825,              0.0095149,              0.0095149,              0.0095149
                     52,                  1.124,                 1.1738,                 1.2208,                 1.3692,                 1.4508,                 1.2287,                 0.4557,                 0.2673,                0.25963,                0.17839,                 1.0195,                 1.1742,                 1.1603,                 1.2122,                 1.3629,                  1.173,               0.009505,               0.009505,               0.009505
                     53,                 1.1237,                 1.1749,                 1.2202,                  1.371,                 1.4525,                 1.2287,                0.48748,                0.27541,                 0.2602,                0.17817,                 1.0214,                 1.1741,                 1.1621,                 1.2033,                 1.3703,                 1.1705,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.1233,                 1.1717,                 1.2152,                 1.3711,                  1.447,                 1.2224,                0.45631,                0.27313,                0.25943,                0.17826,                 1.0178,                 1.1749,                 1.1585,                 1.2056,                 1.3644,                 1.1692,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.1234,                 1.1732,                 1.2214,                 1.3689,                 1.4506,                 1.2295,                0.48069,                0.27848,                0.26338,                0.18103,                 1.0117,                 1.1489,                 1.1534,                 1.2035,                 1.3471,                 1.1668,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.1192,                 1.1588,                 1.2159,                 1.3672,                 1.4261,                 1.2256,                0.49167,                0.28409,                0.27593,                0.18851,                 1.0063,                 1.1591,                 1.1535,                 1.2023,                 1.3513,                 1.1662,              0.0094654,              0.0094654,              0.0094654
